custid,townsize,gender,age,birthmonth,ed,jobcat,union,employ,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,addresscat,cars,carown,cartype,carvalue,carbought,carbuy,commute,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,card2,card2type,card2benefit,card2fee,card2tenure,carditems,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,equipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,Customer_cat
5621-QSZPSF-NF2,1,1,59,July,19,1,0,8,0,47,8.6,1.36,0.31,2.68,0.99,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,2,3,3,1,0,28,0,1,1,17,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,1,1,4,0,17,11,7,322.07,0,3,50,1,8.55,2.15,446.55,0,0,NA,0,NA,1,31.2,1568.35,1,19,2.94,930,6.84,0,0,NA,0,NA,1,0,0,3,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0,medium_spend_cust
8241-PWPONH-62O,4,1,33,October,8,2,0,4,0,19,0.9,0.13,-2.04,0.04,-3.2,0,4,1,9,1,5,6,0,0,0,0,0,0,6,0,2,2,2,1,1,9.3,0,1,4,28,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,1,0,6,2,2,3,0,2,14,2,55.17,0,3,9,1,3.6,1.28,37,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0,medium_spend_cust
8795-FYOXCT-P09,2,0,44,March,10,1,0,12,0,73,2.8,1.25,0.22,0.79,-0.23,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,3,1,1,1,38.5,0,1,1,25,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,1,3,1,0,1,12,5,198.39,0,3,5,0,6.75,1.91,29.9,0,0,NA,0,NA,0,0,0,1,7,1.95,30,3.4,0,0,NA,0,NA,0,0,0,1,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0,medium_spend_cust
1705-NMIQNO-IC4,2,0,58,January,18,1,0,3,0,63,10.5,1.92,0.65,4.69,1.55,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,5,0,-1,-1,-1,-1,0,3,16,0,0,1,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,25,3,4,1,0,17,10,5,384.94,1,1,58,0,12.1,2.49,680.75,1,30.75,3.43,1776.7,7.48,0,0,0,1,24.5,3.2,1415,7.25,0,0,NA,0,NA,1,0,0,0,1,0,1,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0,medium_spend_cust
9205-PAZEXY-90Q,1,1,72,December,20,4,1,27,1,17,9.8,1.28,0.24,0.39,-0.94,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,3,1,1,1,9.3,0,0,10,32,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,4,4,3,1,26,12,3,39.93,1,3,67,0,13.9,2.63,954.05,0,0,NA,0,NA,1,38.55,2580.75,1,23.25,3.15,1525,7.33,0,0,NA,0,NA,1,0,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0,medium_spend_cust
4225-PZZDIY-IBH,1,1,66,December,13,6,1,31,1,23,9.3,0.93,-0.07,1.2,0.19,0,5,1,12,2,2,9,3,0,0,0,0,0,6,0,2,5,3,1,0,11.6,0,1,1,14,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,4,2,1,0,30,9,4,98.65,0,2,72,0,38.7,3.66,2854.9,1,27,3.3,1919,7.56,0,0,0,1,68.5,4.23,4865,8.49,1,43.25,3.77,3159.25,8.06,1,1,1,1,1,1,1,1,0,1,22,1,1,1,0,1,0,0,1,1,0,0,1,medium_spend_cust
0758-EQEGIQ-3OF,1,1,57,October,17,4,0,24,0,171,9.5,1.8,0.59,14.44,2.67,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,1,3,2,1,1,75.8,0,1,1,19,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,3,2,4,0,13,14,4,96.23,1,3,48,0,4.15,1.42,214.85,1,28.75,3.36,1444.65,7.28,1,43.15,1990.25,1,29.25,3.38,1315,7.18,1,40.2,3.69,1840.45,7.52,0,1,1,3,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1,medium_spend_cust
0649-TBFJFL-QU4,2,0,63,May,14,6,1,29,0,424,10.7,13.11,2.57,32.26,3.47,0,4,1,20,5,2,0,0,0,0,0,0,0,0,1,3,5,3,1,0,88.6,0,1,1,29,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,2,3,3,1,29,10,10,798.31,0,1,70,0,34.8,3.55,2540.15,1,45.25,3.81,3165.45,8.06,0,0,0,1,19.75,2.98,1325,7.19,0,0,NA,0,NA,1,1,0,0,1,0,1,1,1,1,24,1,1,1,0,0,0,0,0,1,0,0,0,medium_spend_cust
2228-KOLOPU-FY3,5,1,28,April,11,1,0,4,0,23,4.8,0.19,-1.66,0.91,-0.09,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,1,2,0,-1,-1,-1,-1,1,4,30,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,0,10,17,7,144.69,1,1,34,0,3.45,1.24,110.45,1,33,3.5,1099.65,7,0,0,0,1,16.5,2.8,545,6.3,0,0,NA,0,NA,0,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0,medium_spend_cust
3853-NVDCOJ-TIN,1,1,78,June,16,1,0,10,1,22,15.2,0.69,-0.37,2.65,0.98,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,5,2,1,1,10.8,0,1,3,23,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,2,2,0,7,1,0,0,1,1,14,0,7.3,1.99,85.6,0,0,NA,0,NA,1,24.85,341.75,1,31.75,3.46,350,5.86,0,0,NA,0,NA,1,0,0,1,0,0,0,0,1,1,22,1,1,0,0,1,1,0,0,0,0,0,0,low_spend_cust
0765-UXAFYM-PDR,3,0,61,June,16,1,0,4,0,35,10.1,1.23,0.21,2.3,0.83,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,5,4,0,0,9.4,1,0,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,4,2,3,0,15,8,7,240.38,0,3,53,0,11.2,2.42,567.05,0,0,NA,0,NA,0,0,0,1,9.5,2.25,480,6.17,0,0,NA,0,NA,0,1,0,1,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0,medium_spend_cust
9937-SFPLRK-H9Y,4,0,70,September,17,2,1,2,0,28,9.3,1.2,0.18,1.41,0.34,0,1,1,17,4,2,9,0,0,1,0,0,0,8,0,2,3,5,1,0,15.7,0,1,1,29,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,4,2,4,0,17,8,3,79.54,1,2,59,1,14.25,2.66,805.8,1,23.5,3.16,1366.65,7.22,0,0,0,1,15.25,2.72,840,6.73,0,0,NA,0,NA,1,0,1,3,0,1,0,1,0,1,21,1,1,1,0,1,0,1,0,0,0,1,0,medium_spend_cust
0712-WQXYVV-HUP,1,0,61,April,14,6,0,18,1,12,21.5,0.57,-0.57,2.01,0.7,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,3,3,1,0,5.8,1,0,4,25,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,3,3,1,0,22,10,4,63.63,0,2,61,0,8.35,2.12,476.95,0,0,NA,0,NA,1,29.1,1790.8,1,11.5,2.44,675,6.51,0,0,NA,0,NA,0,0,0,3,0,1,0,0,0,1,13,1,0,1,0,1,0,1,0,0,0,0,0,medium_spend_cust
6441-FJUWZQ-7G8,4,0,37,August,11,1,1,2,0,29,15.7,3.32,1.2,1.23,0.21,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,3,0,-1,-1,-1,-1,1,5,29,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,2,2,0,11,17,7,187.47,1,1,39,0,13.1,2.57,504.45,1,28.5,3.35,1028.1,6.94,1,43.5,1663.95,1,10.5,2.35,380,5.94,1,31.5,3.45,1199.2,7.09,1,1,1,4,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0,medium_spend_cust
7634-AVNEXZ-7AG,3,0,39,October,12,1,0,5,0,130,11.3,4.69,1.54,10,2.3,0,5,1,14,2,4,5,0,0,0,0,0,0,5,1,1,3,2,1,0,49.2,1,0,1,32,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,3,2,2,0,1,12,5,245.14,0,1,6,0,1.5,0.41,11.15,1,13.25,2.58,93,4.53,0,0,0,1,24.5,3.2,140,4.94,0,0,NA,0,NA,0,0,0,1,1,0,1,1,0,1,32,1,1,1,0,1,1,0,0,0,0,0,0,medium_spend_cust
2041-PNMGHX-TXJ,3,1,73,November,14,3,0,28,1,69,14.8,1.16,0.15,9.05,2.2,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,2,5,1,1,1,22.8,1,0,1,27,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,3,2,4,1,24,6,2,80.44,0,3,62,0,25.45,3.24,1565.6,1,17.75,2.88,1031.4,6.94,1,47.15,2874.15,1,10,2.3,595,6.39,1,53.2,3.97,3245.6,8.09,1,1,1,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,0,medium_spend_cust
4626-BQZAUJ-V9K,4,1,26,June,16,2,0,0,0,24,11.7,1.3,0.26,1.51,0.41,1,2,1,17,4,6,1,0,1,0,0,0,0,0,0,2,2,4,0,0,9.8,0,0,1,27,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,1,2,3,0,4,14,5,101,1,3,26,1,5.8,1.76,149.4,0,0,NA,0,NA,1,27.05,728.55,1,5.5,1.7,145,4.98,0,0,NA,0,NA,1,0,0,4,0,0,0,0,1,1,17,1,1,1,0,1,1,1,1,0,0,0,0,medium_spend_cust
2969-ODPCDX-5DC,1,1,24,April,17,6,0,1,0,29,14,1.39,0.33,2.67,0.98,1,1,0,-1,-1,1,12,0,1,0,0,0,0,11,1,1,2,0,-1,-1,-1,-1,0,10,14,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,3,3,1,0,5,11,1,24.55,1,1,11,1,3.95,1.37,42.4,0,0,NA,0,NA,1,19.65,172.75,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,1,0,medium_spend_cust
4974-FUBHDF-Z7L,1,1,77,May,15,1,0,26,1,11,10.2,0.26,-1.36,0.87,-0.14,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,4,5,2,1,0,3.1,0,0,1,21,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,4,4,1,0,30,10,5,107.06,1,2,72,0,89.45,4.49,6495.7,1,75.5,4.32,5310.55,8.58,0,0,0,1,40.75,3.71,2865,7.96,0,0,NA,0,NA,1,0,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0,low_spend_cust
2525-OSULNV-0KS,3,0,36,March,19,1,1,3,0,30,15.5,0.41,-0.88,4.24,1.44,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,1,3,4,3,1,0,13.1,0,1,1,24,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,2,1,4,0,11,11,6,178.9,0,3,37,0,6.7,1.9,233.85,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,2,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,0,medium_spend_cust
4973-FHPBZQ-AAA,5,0,55,December,14,3,0,23,0,80,6.5,0.03,-3.47,5.17,1.64,0,5,0,-1,-1,1,9,2,0,0,0,0,0,7,1,3,5,4,1,0,35,0,1,1,25,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,4,3,2,0,17,11,3,71.41,0,1,47,0,12.25,2.51,524.4,0,0,NA,0,NA,0,0,0,1,22.25,3.1,1000,6.91,0,0,NA,0,NA,0,0,0,0,0,0,1,1,0,1,25,1,1,1,0,1,0,1,0,1,0,1,0,medium_spend_cust
4726-RQKGNB-WAK,2,1,60,March,18,1,0,13,0,51,7.8,1.21,0.19,2.77,1.02,0,5,1,13,2,2,2,2,0,0,0,0,0,0,0,2,5,2,1,0,25.2,0,1,1,26,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,2,4,3,1,29,9,2,44.52,1,3,71,0,36.35,3.59,2586.85,1,51.25,3.94,3624.85,8.2,1,55.15,4064.25,1,28.5,3.35,2090,7.64,1,55.8,4.02,3819.5,8.25,1,1,1,4,0,0,1,0,1,1,20,1,1,1,0,1,1,1,1,1,0,0,1,low_spend_cust
6592-QBSENI-6Y4,1,1,59,February,8,2,1,4,0,30,2.8,0.26,-1.34,0.58,-0.55,0,5,1,10,1,4,1,0,1,0,0,0,0,0,0,2,2,0,-1,-1,-1,-1,1,4,15,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,1,2,2,1,1,11,4,101.97,0,1,3,0,5.5,1.7,19.35,1,19.75,2.98,52.6,3.96,0,0,0,1,30,3.4,45,3.81,0,0,NA,0,NA,0,0,0,0,1,1,1,1,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0,medium_spend_cust
5538-DRGHIE-PF0,1,0,28,October,11,2,1,1,0,17,8.2,0.15,-1.89,1.24,0.22,1,2,1,14,2,6,1,1,0,0,0,0,0,0,0,1,2,3,1,0,8.2,0,0,1,23,1,0,0,0,0,0,0,0,0,0,9,5,1,0,1,3,1,2,0,7,5,4,1,0,6,10,2,73.22,1,3,16,0,7.85,2.06,116.3,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0,medium_spend_cust
3550-PQUPPM-42T,3,0,53,August,20,2,0,11,0,141,9.9,9.59,2.26,4.37,1.47,0,5,1,17,4,3,1,0,1,0,0,0,0,0,1,1,4,0,-1,-1,-1,-1,0,10,23,0,1,0,0,0,0,0,1,0,1,9,6,1,1,1,4,2,1,0,13,1,4,3,0,8,11,3,198.77,0,3,36,1,3.4,1.22,122,1,29,3.37,1042.4,6.95,1,49.25,1693.6,1,22.25,3.1,790,6.67,1,61.25,4.11,2209.2,7.7,1,1,1,3,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,0,0,0,0,medium_spend_cust
9809-NBCXAS-1RB,5,0,36,August,12,2,0,5,0,45,8.3,0.89,-0.12,2.85,1.05,1,4,0,-1,-1,2,3,0,0,3,0,0,0,0,0,2,2,3,1,0,21.2,1,0,1,26,1,0,0,1,0,0,0,1,1,0,1,2,1,0,1,4,1,1,0,13,1,1,2,0,11,13,9,305.7,0,3,38,0,6.75,1.91,244.7,0,0,NA,0,NA,1,27.4,1123.6,0,0,NA,0,NA,0,0,NA,0,NA,1,0,0,3,0,0,0,0,1,1,29,1,1,1,0,1,1,1,0,0,0,0,0,medium_spend_cust
8733-EDAXNE-8DV,1,0,47,February,20,5,0,17,0,137,13.7,3.3,1.19,15.47,2.74,0,4,1,19,4,2,2,2,0,0,0,0,0,0,1,1,4,1,1,1,78.1,0,0,8,21,0,0,1,0,0,0,0,1,0,0,1,7,0,1,1,1,4,1,0,29,4,2,3,0,27,8,8,558.23,0,3,69,0,22.05,3.09,1473.3,0,0,NA,0,NA,1,44.85,2973,1,28.25,3.34,1885,7.54,1,36.45,3.6,2475.25,7.81,1,1,1,3,0,1,0,0,1,1,22,1,1,1,0,1,1,1,0,1,0,1,0,medium_spend_cust
8170-YHWTSQ-825,2,0,75,April,11,2,0,2,1,10,2.4,0.04,-3.25,0.2,-1.6,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,0,2,5,1,1,0,4.9,1,0,5,24,0,0,0,1,1,1,0,0,0,0,9,3,0,0,0,4,3,4,0,23,2,2,2,0,15,17,4,65.47,0,2,46,0,19.8,2.99,884.75,1,24.75,3.21,1058,6.96,0,0,0,1,14,2.64,640,6.46,0,0,NA,0,NA,0,0,0,0,1,1,1,1,0,1,21,0,0,1,0,1,0,0,0,1,0,1,0,low_spend_cust
1144-GVCZDP-8DV,3,1,49,February,22,1,1,3,0,73,9.2,1.44,0.36,5.28,1.66,0,3,1,20,5,5,13,2,0,0,0,0,0,11,1,1,4,1,1,1,33.9,1,0,5,19,0,0,0,1,1,0,0,1,0,0,9,4,0,0,1,4,4,3,1,13,2,3,3,0,13,4,1,21.39,1,1,31,1,7,1.95,238,1,19.5,2.97,598.55,6.39,1,57.25,1740.25,0,0,NA,0,NA,1,62.3,4.13,1879.25,7.54,1,1,1,4,0,0,0,0,1,1,22,1,1,1,1,1,1,1,1,0,0,0,0,low_spend_cust
8846-JJEGFU-I69,1,1,59,May,13,1,0,15,0,63,6,0.59,-0.52,3.19,1.16,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,4,1,1,0,36.2,1,0,1,16,1,0,1,0,0,0,0,0,0,0,9,4,1,0,0,4,2,3,0,13,3,3,4,0,15,9,3,155.47,0,1,41,0,13,2.56,479,1,19.25,2.96,775.6,6.65,0,0,0,1,9,2.2,330,5.8,1,19.35,2.96,764.35,6.64,0,0,0,2,1,1,1,1,0,1,13,1,1,1,0,1,1,1,1,0,0,0,1,medium_spend_cust
4226-TEHKPJ-GKG,2,1,55,September,12,3,0,10,0,50,5.1,1.09,0.08,1.46,0.38,0,2,1,11,1,3,0,0,0,0,0,0,0,0,1,1,5,2,1,0,31.8,0,0,1,21,1,0,0,0,0,0,0,0,0,0,9,4,1,0,0,1,1,3,0,22,3,1,4,0,15,11,2,63.31,0,2,49,0,9.3,2.23,465.5,1,53.5,3.98,2663.3,7.89,0,0,0,1,42,3.74,2060,7.63,0,0,NA,0,NA,0,1,0,0,1,1,1,1,0,1,29,1,1,1,0,0,0,0,0,1,0,0,0,medium_spend_cust
9714-LCYJJB-SCS,2,0,25,April,14,1,0,1,0,50,10.5,1.22,0.2,4.03,1.39,1,2,0,-1,-1,5,1,0,1,0,0,0,0,0,0,2,2,0,-1,-1,-1,-1,1,8,15,0,0,0,0,1,0,0,1,0,0,9,5,0,0,1,4,4,4,0,7,2,1,1,0,7,11,4,166.43,1,1,46,0,14.45,2.67,659.35,0,0,NA,0,NA,1,29.75,1319.5,1,26.5,3.28,1150,7.05,0,0,NA,0,NA,1,1,0,2,0,0,0,0,0,1,22,1,1,1,0,1,0,1,0,1,0,0,1,medium_spend_cust
2866-TTOTKL-TA7,4,0,78,September,11,3,0,30,1,28,9.8,1.64,0.49,1.11,0.1,0,5,1,15,3,2,9,0,0,0,0,0,0,9,0,3,5,2,1,0,15.8,1,0,4,34,0,0,1,1,0,0,0,0,0,1,2,4,0,1,1,2,3,2,0,14,5,1,1,1,12,5,7,227.41,0,2,31,0,5,1.61,133.35,0,0,NA,0,NA,0,0,0,1,10.75,2.37,295,5.69,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,0,0,0,1,1,0,0,low_spend_cust
7217-UECHSF-PCR,1,1,48,November,11,2,0,2,0,23,18.7,2.05,0.72,2.25,0.81,1,2,0,-1,-1,2,9,0,0,0,2,0,0,7,1,3,4,2,1,0,9.3,0,0,1,23,1,0,1,0,0,0,0,0,0,0,9,5,0,0,0,5,3,2,0,11,3,2,1,0,10,11,5,83.11,1,3,23,0,6.5,1.87,169.8,1,34.75,3.55,763.75,6.64,0,0,0,1,15.75,2.76,345,5.84,1,19.7,2.98,387.9,5.96,0,0,0,1,1,1,1,1,0,1,28,1,1,1,0,1,0,0,0,0,1,0,1,medium_spend_cust
