"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"170",58,14,0,10,58,11.4,1.81,0.59,4.8,1.57,0,3,1,13,2,2,1,0,0,0,0,1,0,0,1,3,1,0,1,31,1,0,0,1,0,0,0,0,0,0,3,4,0,0,0,3,3,4,1,29,0,20,13,11,320.42,0,59,0,6.85,1.92,415.45,0,0,2.66,0,6.71,0,0,0,1,6.75,1.91,400,5.99,0,0,2.7,0,6.79,0,0,0,0,0,0,0,0,1,24,1,1,1,0,0,0,0,0,1,0,0,0,"5","1","January","2","0","3","5","0","24.3","0","1","3","3","2","0","medium_spend_cust"
"173",62,15,1,8,49,4.8,0.83,-0.19,1.52,0.42,0,5,0,-1,-1,1,1,0,0,1,0,0,0,0,1,1,0,0,3,17,0,0,1,0,0,0,0,1,0,0,9,4,0,0,1,2,4,1,0,22,0,19,12,5,105.84,0,30,1,12.95,2.56,386.85,0,0,2.69,0,6.17,1,22.55,636.65,1,21.5,3.07,635,6.45,0,0,2.72,0,6.16,1,0,0,0,0,0,0,0,1,21,1,1,1,0,1,0,1,0,0,0,0,0,"1","0","January","2","0","1","5","1","26.2","1","3","4","2","3","1","medium_spend_cust"
"178",37,18,0,8,193,3.7,4.82,1.57,2.32,0.84,0,4,1,8,1,3,0,0,0,0,0,0,0,0,1,3,1,0,1,23,1,0,0,0,0,0,1,0,0,0,9,6,0,0,1,4,1,2,0,10,1,12,8,7,357.98,0,33,1,8.95,2.19,332.8,1,35.5,3.57,1316.9,7.18,1,59.65,1910,1,41.75,3.73,1290,7.16,1,63.3,4.15,2048.1,7.62,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,0,0,1,"2","0","September","6","0","3","3","0","88.7","1","1","3","1","3","4","medium_spend_cust"
"180",23,9,0,6,21,9.5,1.51,0.41,0.48,-0.72,1,5,1,9,1,5,0,0,0,0,0,0,0,0,0,1,0,1,1,30,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,5,4,2,0,5,1,5,8,4,106.76,1,36,0,8.4,2.13,291.2,0,0,2.58,0,6.42,0,0,0,1,6.5,1.87,230,5.44,0,0,2.82,0,6.39,1,0,0,1,0,0,0,0,1,7,1,1,1,0,0,0,0,0,0,0,0,0,"3","1","August","6","0","1","1","0","7.3","1","1","1","4","1","0","low_spend_cust"
"181",57,15,0,8,121,7.8,1.91,0.65,7.53,2.02,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,3,1,0,10,20,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,1,1,3,1,33,0,26,9,3,125.98,1,61,1,12.5,2.53,757.35,0,0,2.42,0,6.63,0,0,0,1,52.25,3.96,3145,8.05,0,0,3.18,0,7.35,1,0,0,0,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","October","1","0","3","4","0","50.2","1","4","2","3","1","0","medium_spend_cust"
"185",79,16,0,15,26,18.1,2.3,0.83,2.4,0.88,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,21,1,0,0,0,0,0,0,0,0,1,9,4,1,0,0,1,4,3,0,29,0,24,14,7,173.74,0,67,0,18.05,2.89,1144.85,0,0,2.85,0,7.1,0,0,0,1,12,2.48,790,6.67,0,0,2.82,0,7.11,1,0,0,0,0,0,0,0,1,25,1,1,1,0,1,0,0,0,1,0,0,0,"1","0","August","1","1","2","5","0","11.5","0","4","4","3","2","0","medium_spend_cust"
"189",73,14,0,34,164,29.7,4.19,1.43,44.52,3.8,0,5,1,9,1,2,4,0,4,0,0,0,0,0,1,4,1,0,1,25,1,1,0,1,1,0,1,1,0,0,9,3,1,1,1,4,2,4,0,40,0,30,11,6,651.05,1,72,0,50.5,3.92,3523.65,1,52,3.95,3824.15,8.25,0,0,0,1,23.5,3.16,1535,7.34,0,0,3.17,0,7.38,1,0,0,1,1,1,1,0,1,21,1,1,1,0,1,1,1,0,1,0,0,0,"5","0","December","5","0","1","5","0","68.9","1","1","2","1","2","0","medium_spend_cust"
"194",56,18,0,3,129,5.5,0.93,-0.07,6.17,1.82,0,4,1,16,3,2,9,0,2,0,0,0,0,7,1,1,1,1,4,23,1,0,1,1,0,0,0,1,0,0,9,3,1,0,1,4,1,1,0,13,0,11,9,2,24.06,0,40,1,6.05,1.8,244.15,0,0,2.48,0,6.31,1,33.2,1263.75,1,9.75,2.28,375,5.93,0,0,2.64,0,6.48,1,0,0,0,0,0,0,1,1,20,1,1,1,0,1,1,1,0,0,0,0,1,"1","1","May","1","0","1","5","0","53.7","0","3","2","2","3","2","medium_spend_cust"
"195",46,16,1,4,56,6.1,0.04,-3.11,3.37,1.22,0,4,0,-1,-1,1,1,0,1,0,0,0,0,0,0,3,1,1,1,27,1,0,1,0,0,0,0,0,0,0,9,5,1,0,0,1,1,1,0,9,0,8,5,9,362.61,0,30,0,8.75,2.17,268.95,0,0,2.48,0,5.4,0,0,0,0,0,1.66,0,4.32,0,0,2.64,0,5.54,0,0,0,0,0,0,0,0,1,19,1,1,1,0,0,0,1,0,0,0,0,0,"4","1","March","2","0","1","2","0","28.4","0","2","4","4","3","0","low_spend_cust"
"196",69,6,0,19,59,12.3,2.72,1,4.54,1.51,0,5,1,7,1,2,5,0,0,0,0,0,0,5,1,1,1,0,8,14,0,0,0,0,0,0,0,1,0,0,9,6,1,0,1,5,3,4,0,35,1,28,7,4,104.89,0,69,0,22.95,3.13,1537.45,1,22,3.09,1516.05,7.32,0,0,0,1,27.75,3.32,1865,7.53,0,0,3.06,0,7.25,0,0,0,0,1,1,0,0,1,23,1,1,1,0,0,0,0,0,1,1,0,0,"4","0","December","1","0","1","5","0","31.6","0","3","1","2","2","0","medium_spend_cust"
"197",38,15,0,8,36,5.2,0.76,-0.27,1.11,0.1,0,4,1,8,1,2,1,0,1,0,0,0,0,0,1,2,1,0,1,13,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,1,1,1,7,0,10,9,6,89.44,0,26,0,6.85,1.92,184,0,0,2.46,0,5.93,0,0,0,1,5.25,1.66,125,4.83,0,0,2.54,0,5.95,1,0,0,0,0,0,0,0,1,25,1,1,1,0,0,1,0,0,0,0,0,0,"1","1","February","5","0","1","3","0","14.9","0","3","4","4","3","0","medium_spend_cust"
"201",36,18,0,2,29,30.7,3.61,1.28,5.3,1.67,1,1,0,-1,-1,1,2,1,0,1,0,0,0,0,1,4,0,0,1,31,1,0,0,0,0,0,0,1,0,0,9,1,1,0,1,4,4,3,0,3,0,2,7,5,73.36,1,4,1,3.05,1.12,8.35,1,9.75,2.28,37.75,3.63,1,39.4,136,1,34.75,3.55,100,4.61,1,24.15,3.18,69.15,4.24,0,0,0,1,0,1,1,1,1,23,1,1,1,1,1,1,1,0,0,0,0,0,"5","1","June","2","0","1","3","1","13.1","0","3","2","1","1","4","low_spend_cust"
"204",65,13,1,15,18,5.1,0.51,-0.67,0.41,-0.9,0,3,0,-1,-1,1,5,0,2,0,0,0,0,3,0,1,0,0,8,20,0,1,0,1,0,0,0,1,0,0,9,4,0,0,0,4,4,1,0,26,0,20,10,3,37.38,1,64,0,11.5,2.44,745.95,0,0,2.53,0,6.73,0,0,0,1,8.25,2.11,495,6.2,0,0,2.92,0,7.04,0,0,1,1,1,1,1,1,1,18,1,1,1,0,1,1,0,0,0,0,0,0,"3","0","May","1","1","2","4","1","8.1","1","2","4","3","3","0","low_spend_cust"
